============================================================
  Generated by:           Genus(TM) Synthesis Solution 21.10-p002_1
  Generated on:           Jul 17 2023  08:26:43 pm
  Module:                 NTTN
  Technology library:     fast_vdd1v0 1.0
  Operating conditions:   PVT_1P1V_0C (balanced_tree)
  Wireload mode:          enclosed
  Area mode:              timing library
============================================================

         Instance                           Module                   Cell Count   Cell Area  Net Area   Total Area   Wireload  
-------------------------------------------------------------------------------------------------------------------------------
NTTN                                                                     409515 1948264.902     0.000  1948264.902 <none> (D)  
          FA_LOOP[44].fau FA_684                                              1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[45].fau FA_685                                              1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[46].fau FA_686                                              1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[47].fau FA_687                                              1       3.762     0.000        3.762 <none> (D)  
        CSA_LOOP[1].csau  CSA_11                                             32     142.272     0.000      142.272 <none> (D)  
          FA_LOOP[17].fau FA_721                                              1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[18].fau FA_722                                              1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[19].fau FA_723                                              1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[20].fau FA_724                                              1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[21].fau FA_725                                              1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[22].fau FA_726                                              1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[23].fau FA_727                                              1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[24].fau FA_728                                              1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[25].fau FA_729                                              1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[26].fau FA_730                                              1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[27].fau FA_731                                              1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[28].fau FA_732                                              1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[29].fau FA_733                                              1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[30].fau FA_734                                              1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[31].fau FA_735                                              1       3.762     0.000        3.762 <none> (D)  
          FA_LOOP[32].fau FA_736                                              1       5.130     0.000        5.130 <none> (D)  
