============================================================
  Generated by:           Genus(TM) Synthesis Solution 21.10-p002_1
  Generated on:           Jul 16 2023  10:45:33 pm
  Module:                 NTTN
  Technology library:     fast_vdd1v0 1.0
  Operating conditions:   PVT_1P1V_0C (balanced_tree)
  Wireload mode:          enclosed
  Area mode:              timing library
============================================================

         Instance                        Module                 Cell Count   Cell Area  Net Area   Total Area   Wireload  
--------------------------------------------------------------------------------------------------------------------------
NTTN                                                                427721 1943704.674     0.000  1943704.674 <none> (D)  
        genblk1[0].mrs    ModRed_sub_CURR_DATA64_NEXT_DATA55_3        1091    3570.138     0.000     3570.138 <none> (D)  
        genblk1[1].mrs    ModRed_sub_CURR_DATA55_NEXT_DATA46_3        1017    3257.208     0.000     3257.208 <none> (D)  
        genblk1[2].mrs    ModRed_sub_CURR_DATA46_NEXT_DATA37_3         918    2781.486     0.000     2781.486 <none> (D)  
        mrsl              ModRed_sub_CURR_DATA37_NEXT_DATA34_3         884    2557.818     0.000     2557.818 <none> (D)  
    unit00                ShiftReg_SHIFT12_DATA32_3                    385    2364.588     0.000     2364.588 <none> (D)  
  ag                      AddressGenerator                            1218    5845.122     0.000     5845.122 <none> (D)  
    sr00                  ShiftReg_SHIFT1_DATA10                        11      62.244     0.000       62.244 <none> (D)  
    sr01                  ShiftReg_SHIFT17_DATA9                       137     837.900     0.000      837.900 <none> (D)  
    sr02                  ShiftReg_SHIFT18_DATA9                       163     997.956     0.000      997.956 <none> (D)  
    sr03                  ShiftReg_SHIFT17_DATA1                        18     105.336     0.000      105.336 <none> (D)  
    sr04                  ShiftReg_SHIFT18_DATA1                        19     111.492     0.000      111.492 <none> (D)  
    sr05                  ShiftReg_SHIFT17_DATA1_1                      18     105.336     0.000      105.336 <none> (D)  
    sr06                  ShiftReg_SHIFT18_DATA1_1                      19     111.492     0.000      111.492 <none> (D)  
    sr07                  ShiftReg_SHIFT17_DATA1_2                      18     105.336     0.000      105.336 <none> (D)  
    sr08                  ShiftReg_SHIFT18_DATA1_2                      19     111.492     0.000      111.492 <none> (D)  
    sr09                  ShiftReg_SHIFT18_DATA5                        73     443.916     0.000      443.916 <none> (D)  
