###############################################################
#  Generated by:      Cadence Innovus 21.10-p004_1
#  OS:                Linux x86_64(Host ID vlsicadclient13)
#  Generated on:      Fri Jul 21 15:46:30 2023
#  Design:            NTTN
#  Command:           report_timing > timing_postRoute.txt
###############################################################
Path 1: MET Setup Check with Pin NTT2_GEN_BLOCK[1].nttu/MULin1_reg[31]/CK 
Endpoint:   NTT2_GEN_BLOCK[1].nttu/MULin1_reg[31]/D (^) checked with  leading 
edge of 'clk'
Beginpoint: NTTin_reg[2][0]/Q                       (^) triggered by  leading 
edge of 'clk'
Path Groups: {clk}
Analysis View: setup
Other End Arrival Time         -0.022
- Setup                         0.147
+ Phase Shift                  10.000
= Required Time                 9.831
- Arrival Time                  8.138
= Slack Time                    1.693
     Clock Rise Edge                 0.000
     + Clock Network Latency (Prop)  0.024
     = Beginpoint Arrival Time       0.024
     +-------------------------------------------------------------------------------------------------------------+ 
     |                      Instance                      |      Arc      |   Cell    | Delay | Arrival | Required | 
     |                                                    |               |           |       |  Time   |   Time   | 
     |----------------------------------------------------+---------------+-----------+-------+---------+----------| 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_2642_0                | B ^ -> Y v    | NAND2X4   | 0.070 |   7.239 |    7.375 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_3207_0                | B v -> Y ^    | NAND2BX4  | 0.057 |   7.296 |    7.432 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_3206_0                | B ^ -> Y v    | NAND2X6   | 0.066 |   7.362 |    7.498 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_3110_0                | B v -> Y ^    | NAND2BX4  | 0.051 |   7.413 |    7.549 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_3109_0                | B ^ -> Y v    | NAND2X4   | 0.068 |   7.482 |    7.617 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_2873_0                | B v -> Y ^    | NAND2BX4  | 0.054 |   7.536 |    7.671 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_2872_0                | B ^ -> Y v    | NAND2X4   | 0.071 |   7.607 |    7.743 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_868_0                 | B v -> Y ^    | NAND2BX4  | 0.056 |   7.663 |    7.799 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_867_0                 | B ^ -> Y v    | NAND2X4   | 0.073 |   7.736 |    7.871 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_604_0                 | B v -> Y ^    | NAND2BX4  | 0.057 |   7.793 |    7.928 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_603_0                 | B ^ -> Y v    | NAND2X4   | 0.068 |   7.861 |    7.997 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_850_0                 | B v -> Y ^    | NAND2BX4  | 0.053 |   7.914 |    8.050 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_849_0                 | B ^ -> Y v    | NAND2X4   | 0.068 |   7.982 |    8.118 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_700_0                 | B v -> Y ^    | NAND2BX4  | 0.054 |   8.036 |    8.171 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_699_0                 | B ^ -> Y v    | NAND2X4   | 0.075 |   8.111 |    8.247 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_510_0                 | B v -> Y ^    | NAND2BX4  | 0.059 |   8.170 |    8.306 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_509_0                 | B ^ -> Y v    | NAND2X4   | 0.073 |   8.243 |    8.378 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_1995_0                | B v -> Y ^    | NAND2BX4  | 0.059 |   8.302 |    8.438 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_1994_0                | B ^ -> Y v    | NAND2X6   | 0.066 |   8.368 |    8.503 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_1901_0                | B v -> Y ^    | NAND2BX4  | 0.052 |   8.419 |    8.555 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_1900_0                | B ^ -> Y v    | NAND2X4   | 0.072 |   8.491 |    8.627 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_1673_0                | B v -> Y ^    | NAND2BX4  | 0.057 |   8.548 |    8.684 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_1672_0                | B ^ -> Y v    | NAND2X4   | 0.073 |   8.621 |    8.757 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_4073_0                | B v -> Y ^    | NAND2BX4  | 0.058 |   8.679 |    8.814 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_4072_0                | B ^ -> Y v    | NAND2X6   | 0.065 |   8.744 |    8.880 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_3878_0                | B v -> Y ^    | NAND2BX4  | 0.051 |   8.795 |    8.930 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_3877_0                | B ^ -> Y v    | NAND2X4   | 0.070 |   8.864 |    9.000 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_3279_0                | B v -> Y ^    | NAND2BX4  | 0.055 |   8.920 |    9.055 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_3278_0                | B ^ -> Y v    | NAND2X4   | 0.064 |   8.984 |    9.120 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_3644_0                | B v -> Y ^    | NAND2BX2  | 0.054 |   9.038 |    9.174 | 
     | NTT2_GEN_BLOCK[1].nttu/FE_RC_3643_0                | B ^ -> Y v    | NAND2X2   | 0.078 |   9.116 |    9.252 | 
     | NTT2_GEN_BLOCK[1].nttu/ADD_UNS_OP_g751             | B v -> CO v   | ADDFXL    | 0.188 |   9.304 |    9.440 | 
     | NTT2_GEN_BLOCK[1].nttu/ADD_UNS_OP_g750             | A v -> Y ^    | XNOR2X1   | 0.224 |   9.528 |    9.663 | 
     | NTT2_GEN_BLOCK[1].nttu/g1418                       | AN ^ -> Y ^   | NOR2BX2   | 0.167 |   9.695 |    9.831 | 
     | NTT2_GEN_BLOCK[1].nttu/MULin1_reg[31]              | D ^           | DFFQXL    | 0.000 |   9.696 |    9.831 | 
     +-------------------------------------------------------------------------------------------------------------+ 

